dataset_name,model_name,sampling_time_step_count,hyperparameter1,hyperparameter1_name,hyperparameter2,hyperparameter2_name,rmse,crps,time_s_mean,k,tie_breaker
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.05,lambda,0.1213936672852469,3.8705221231612597,0.037915502160000475,6,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.05,lambda,0.12140114546870233,3.8833606914334364,0.038803519980000374,7,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.05,lambda,0.12140202290483906,3.8847166429516244,0.03564230122000041,8,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.05,lambda,0.12172869096639508,3.1034344336376205,0.035953043980000245,9,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.1,lambda,0.16126943661297424,5.070223407675536,0.035548555760000086,10,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.1,lambda,0.16130227684228046,5.151781510495567,0.03641003587999947,11,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.1,lambda,0.16130871451036774,5.16087829575622,0.03118122054000054,12,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.1,lambda,0.16130938989424093,5.161800306187823,0.04046633719999903,13,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.1,lambda,0.16142120761819367,4.466595021301171,0.029907035339999624,14,1
KuramotoSivashinsky,EnFF-F2P,20,0.1,sigma_min,0.005,lambda,0.1994881196823555,4.675554425859916,0.037376630460000226,15,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.2,lambda,0.20756366214415073,6.58364233399584,0.038315326560000355,16,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.2,lambda,0.20758207878812968,6.63663311247711,0.02733104587999833,17,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.2,lambda,0.20758424312423598,6.642094974998872,0.04430862979999972,18,1
