dataset_name,model_name,sampling_time_step_count,hyperparameter1,hyperparameter1_name,hyperparameter2,hyperparameter2_name,rmse,crps,time_s_mean,k,tie_breaker
KuramotoSivashinsky,BPF,,1.6,inflation,,localization,1.898243082487772,42.952337790961884,0.004100662539999717,1,1
KuramotoSivashinsky,BPF,,1.7,inflation,,localization,1.898243082487772,42.952337790961884,0.0027413442799998932,1,2
KuramotoSivashinsky,BPF,,1.8,inflation,,localization,1.898243082487772,42.952337790961884,0.0029950533800000303,1,3
KuramotoSivashinsky,BPF,,1.5,inflation,,localization,1.9036279141883117,43.074182623313874,0.002788947179999539,2,1
KuramotoSivashinsky,BPF,,1.3,inflation,,localization,1.9083936395770957,43.1820186789837,0.002739944699999697,3,1
KuramotoSivashinsky,BPF,,0.8,inflation,,localization,1.9083936395770957,43.1820186789837,0.0028547607399997334,3,2
KuramotoSivashinsky,BPF,,1.4,inflation,,localization,1.9083936395770957,43.1820186789837,0.002840642399999851,3,3
KuramotoSivashinsky,BPF,,1.1,inflation,,localization,1.9083936395770957,43.1820186789837,0.002855530080000008,3,4
KuramotoSivashinsky,BPF,,1.0,inflation,,localization,1.9083936395770957,43.1820186789837,0.0027783870000001086,3,5
KuramotoSivashinsky,BPF,,1.2,inflation,,localization,1.9083936395770957,43.1820186789837,0.0037634790799996407,3,6
KuramotoSivashinsky,BPF,,0.9,inflation,,localization,1.9083936395770957,43.1820186789837,0.003249546499999809,3,7
KuramotoSivashinsky,ESRF,,1.4,inflation,7.0,localization,1.5040205308167847,33.54892261859784,0.003062350559999842,1,1
KuramotoSivashinsky,ESRF,,1.4,inflation,4.0,localization,1.5040205308167847,33.54892261859784,0.003037505659999624,1,2
KuramotoSivashinsky,ESRF,,1.4,inflation,5.0,localization,1.5040205308167847,33.54892261859784,0.0030380040000004983,1,3
KuramotoSivashinsky,ESRF,,1.4,inflation,2.0,localization,1.5040205308167847,33.54892261859784,0.003122842340000389,1,4
KuramotoSivashinsky,ESRF,,1.4,inflation,8.0,localization,1.5040205308167847,33.54892261859784,0.003063611279999634,1,5
KuramotoSivashinsky,ESRF,,1.4,inflation,6.0,localization,1.5040205308167847,33.54892261859784,0.003007104299999952,1,6
KuramotoSivashinsky,ESRF,,1.4,inflation,1.0,localization,1.5040205308167847,33.54892261859784,0.0030525862199998954,1,7
KuramotoSivashinsky,ESRF,,1.4,inflation,3.0,localization,1.5040205308167847,33.54892261859784,0.003302510159999912,1,8
KuramotoSivashinsky,ESRF,,1.7,inflation,2.0,localization,1.5041139467162747,33.3744474259226,0.0036956860799996607,2,1
KuramotoSivashinsky,ESRF,,1.7,inflation,1.0,localization,1.5041139467162747,33.3744474259226,0.0030069850599997493,2,2
KuramotoSivashinsky,ESRF,,1.7,inflation,4.0,localization,1.5041139467162747,33.3744474259226,0.0030707897800000693,2,3
KuramotoSivashinsky,ESRF,,1.7,inflation,8.0,localization,1.5041139467162747,33.3744474259226,0.0033338688800003523,2,4
KuramotoSivashinsky,ESRF,,1.7,inflation,5.0,localization,1.5041139467162747,33.3744474259226,0.003117749439999642,2,5
KuramotoSivashinsky,ESRF,,1.7,inflation,6.0,localization,1.5041139467162747,33.3744474259226,0.0030484647800002305,2,6
KuramotoSivashinsky,ESRF,,1.7,inflation,7.0,localization,1.5041139467162747,33.3744474259226,0.002982795859999641,2,7
KuramotoSivashinsky,ESRF,,1.7,inflation,3.0,localization,1.5041139467162747,33.3744474259226,0.0031814605600001757,2,8
KuramotoSivashinsky,ESRF,,1.8,inflation,7.0,localization,1.5314423559172416,33.93657568769725,0.0030677261799998946,3,1
KuramotoSivashinsky,ESRF,,1.8,inflation,3.0,localization,1.5314423559172416,33.93657568769725,0.003045390179999927,3,2
KuramotoSivashinsky,ESRF,,1.8,inflation,6.0,localization,1.5314423559172416,33.93657568769725,0.0032363339799998414,3,3
KuramotoSivashinsky,ESRF,,1.8,inflation,4.0,localization,1.5314423559172416,33.93657568769725,0.003000415599999897,3,4
KuramotoSivashinsky,ESRF,,1.8,inflation,5.0,localization,1.5314423559172416,33.93657568769725,0.0030504537400004497,3,5
KuramotoSivashinsky,ESRF,,1.8,inflation,8.0,localization,1.5314423559172416,33.93657568769725,0.0030905799999998607,3,6
KuramotoSivashinsky,ESRF,,1.8,inflation,2.0,localization,1.5314423559172416,33.93657568769725,0.003075440579999622,3,7
KuramotoSivashinsky,ESRF,,1.8,inflation,1.0,localization,1.5314423559172416,33.93657568769725,0.0035560474400007534,3,8
KuramotoSivashinsky,ESRF,,1.5,inflation,1.0,localization,1.5794460765507814,35.19078065484041,0.0030951373000000617,4,1
KuramotoSivashinsky,ESRF,,1.5,inflation,4.0,localization,1.5794460765507814,35.19078065484041,0.003048934199999849,4,2
KuramotoSivashinsky,ESRF,,1.5,inflation,2.0,localization,1.5794460765507814,35.19078065484041,0.0030798426800001267,4,3
KuramotoSivashinsky,ESRF,,1.5,inflation,7.0,localization,1.5794460765507814,35.19078065484041,0.003150416540000194,4,4
KuramotoSivashinsky,ESRF,,1.5,inflation,6.0,localization,1.5794460765507814,35.19078065484041,0.0029954673400003173,4,5
KuramotoSivashinsky,ESRF,,1.5,inflation,3.0,localization,1.5794460765507814,35.19078065484041,0.003027847799999961,4,6
KuramotoSivashinsky,ESRF,,1.5,inflation,5.0,localization,1.5794460765507814,35.19078065484041,0.003890652220000064,4,7
KuramotoSivashinsky,ESRF,,1.5,inflation,8.0,localization,1.5794460765507814,35.19078065484041,0.003056755259999946,4,8
KuramotoSivashinsky,ESRF,,1.3,inflation,2.0,localization,1.6199741369258538,36.237584058580566,0.0029203041599998158,5,1
KuramotoSivashinsky,ESRF,,1.3,inflation,1.0,localization,1.6199741369258538,36.237584058580566,0.0030671051999998865,5,2
KuramotoSivashinsky,ESRF,,1.3,inflation,7.0,localization,1.6199741369258538,36.237584058580566,0.0034268815599999415,5,3
